,Appears in top 10 ridership table,Appears in top 10 stations near women tech companies,number of lines with high waittimes / maximum number of lines (=5),SCORE
Times 42nd,1,1,1,3
 34 PENN STA,1,1,0.6,2.6
Grand ST ,1,1,0.4,2.4
14TH  Union ,1,0,1,2
42 port authority,1,0,0.8,1.8
Canal,1,0,0.8,1.8
42nd Bryant ,0,1,0.8,1.8
34th st,1,0,0.8,1.8
Fulton,1,0,0.6,1.6
86 st ,1,0,0.6,1.6
125th,1,0,0.2,1.2
